timestamp;byte;samp_rate
1,026109;172;65105
1,026124;221;65105
1,026140;164;65105
1,026155;226;65105
1,026170;242;65105
1,026186;140;65105
1,026201;32;65105
1,026216;252;65105
1,026232;0;65105
1,026247;1;65105
1,026263;0;65105
1,026278;1;65105
1,026293;17;65105
2,040731;172;65105
2,040747;221;65105
2,040762;164;65105
2,040778;226;65105
2,040793;242;65105
2,040808;140;65105
2,040824;32;65105
2,040839;252;65105
2,040854;0;65105
2,040870;1;65105
2,040885;0;65105
2,040900;1;65105
2,040916;17;65105
3,051724;172;65105
3,051739;221;65105
3,051755;164;65105
3,051770;226;65105
3,051785;242;65105
3,051801;140;65105
3,051816;32;65105
3,051831;252;65105
3,051847;0;65105
3,051862;1;65105
3,051878;0;65105
3,051893;1;65105
3,051908;17;65105
4,065779;172;65105
4,065794;221;65105
4,065809;164;65105
4,065825;226;65105
4,065840;242;65105
4,065856;140;65105
4,065871;32;65105
4,065886;252;65105
4,065902;0;65105
4,065917;1;65105
4,065932;0;65105
4,065948;1;65105
4,065963;17;65105
5,075219;172;65105
5,075235;221;65105
5,075250;164;65105
5,075265;226;65105
5,075281;242;65105
5,075296;140;65105
5,075311;32;65105
5,075327;252;65105
5,075342;0;65105
5,075357;1;65105
5,075373;0;65105
5,075388;1;65105
5,075403;17;65105
6,080772;172;65105
6,080787;221;65105
6,080803;164;65105
6,080818;226;65105
6,080833;242;65105
6,080849;140;65105
6,080864;32;65105
6,080879;252;65105
6,080895;0;65105
6,080910;1;65105
6,080926;0;65105
6,080941;1;65105
6,080956;17;65105
7,081773;172;65105
7,081788;221;65105
7,081803;164;65105
7,081819;226;65105
7,081834;242;65105
7,081849;140;65105
7,081865;32;65105
7,081880;252;65105
7,081895;0;65105
7,081911;1;65105
7,081926;0;65105
7,081942;1;65105
7,081957;17;65105
8,093593;172;65105
8,093609;221;65105
8,093624;164;65105
8,093639;226;65105
8,093655;242;65105
8,093670;140;65105
8,093686;32;65105
8,093701;252;65105
8,093716;0;65105
8,093732;1;65105
8,093747;0;65105
8,093762;1;65105
8,093778;17;65105
9,106436;172;65105
9,106452;221;65105
9,106467;164;65105
9,106482;226;65105
9,106498;242;65105
9,106513;140;65105
9,106528;32;65105
9,106544;252;65105
9,106559;0;65105
9,106574;1;65105
9,106590;0;65105
9,106605;1;65105
9,106621;17;65105
10,112936;172;65105
10,112952;221;65105
10,112967;164;65105
10,112982;226;65105
10,112998;242;65105
10,113013;140;65105
10,113028;32;65105
10,113044;252;65105
10,113059;0;65105
10,113074;1;65105
10,113090;0;65105
10,113105;1;65105
10,113121;17;65105
11,127354;172;65105
11,127369;221;65105
11,127384;164;65105
11,127400;226;65105
11,127415;242;65105
11,127430;140;65105
11,127446;32;65105
11,127461;252;65105
11,127477;0;65105
11,127492;1;65105
11,127507;0;65105
11,127523;1;65105
11,127538;17;65105
12,139594;172;65105
12,139610;221;65105
12,139625;164;65105
12,139640;226;65105
12,139656;242;65105
12,139671;140;65105
12,139686;32;65105
12,139702;252;65105
12,139717;0;65105
12,139733;1;65105
12,139748;0;65105
12,139763;1;65105
12,139779;17;65105
13,154038;172;65105
13,154054;221;65105
13,154069;164;65105
13,154085;226;65105
13,154100;242;65105
13,154115;140;65105
13,154131;32;65105
13,154146;252;65105
13,154161;0;65105
13,154177;1;65105
13,154192;0;65105
13,154207;1;65105
13,154223;17;65105
